Plugin,ExecutionResult
nmap_tool_1,ERROR
normalization,ERROR
normalize_streaming_delta_test,ERROR
normalize_streaming_eof_test,ERROR
nosql_fuzz,ERROR
notifications,ERROR
notify,ERROR
no_nested_task,ERROR
nuclei,ERROR
nuclei-agent,ERROR
nuclei-template-sha,ERROR
nuclei_2,ERROR
nuclei_tool,ERROR
oauth_pkce_downgrade,ERROR
ollama,ERROR
ollama_api,ERROR
one-gadget,ERROR
onesixtyone,ERROR
onyphe,ERROR
openai,ERROR
openapi,ERROR
openapi-discovery-agent,ERROR
openapi_i18n,ERROR
openapi_parser,ERROR
open_ai,ERROR
operations_center,ERROR
opsec-anonymizer,ERROR
opsec-evasion,ERROR
options,ERROR
options_2,ERROR
oracle-odat,ERROR
oracle-patator,ERROR
oracle-scanner,ERROR
oracle-tnscmd,ERROR
oraclesqlinjection,ERROR
